2026-04-15 11:34:03 | IP: ::1 | User: 2 | Action: connexion | Details: Connexion réussie
2026-05-18 15:01:52 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 20
2026-05-18 15:01:56 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 21
2026-05-18 15:02:01 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 22
2026-05-18 15:02:05 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 23
2026-05-18 15:02:13 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 25
2026-05-18 15:02:19 | IP: ::1 | User: 1 | Action: suppression_cite | Details: Cité supprimée ID: 24
2026-05-18 15:13:19 | IP: ::1 | User: 6 | Action: connexion | Details: Connexion réussie
2026-05-18 15:14:11 | IP: ::1 | User: 1 | Action: connexion | Details: Connexion réussie
2026-05-18 15:23:41 | IP: ::1 | User: 1 | Action: confirmation_reservation | Details: Réservation #24 confirmée
2026-05-18 15:26:51 | IP: ::1 | User: Guest | Action: tentative_connexion_echouee | Details: Email: aliadam@gmail.com - Mot de passe incorrect
2026-05-18 15:27:09 | IP: ::1 | User: 6 | Action: connexion | Details: Connexion réussie
2026-05-18 15:29:56 | IP: ::1 | User: Guest | Action: tentative_connexion_echouee | Details: Email: moussayaya@gmail.com - Mot de passe incorrect
2026-05-18 15:30:09 | IP: ::1 | User: 5 | Action: connexion | Details: Connexion réussie
2026-05-18 15:31:32 | IP: ::1 | User: 1 | Action: connexion | Details: Connexion réussie
2026-05-18 15:34:19 | IP: ::1 | User: 6 | Action: connexion | Details: Connexion réussie
